flight_id,airportFrom,airportTo,aircraftType,departure_date,time,departure_gate,arrival_gate,duration_in_hrs
1,JFK,LAX,Boeing 787,2024-03-15,08:30,A1,B12,5.5
2,LHR,CDG,Airbus A320,2024-03-16,10:15,C3,D5,1.25
3,SFO,SEA,Boeing 737,2024-03-17,12:45,B2,A7,2.0
4,DXB,SIN,Airbus A380,2024-03-18,23:00,F8,E10,7.5
5,HND,ICN,Boeing 777,2024-03-19,14:20,D4,C9,2.5
6,FRA,IST,Airbus A330,2024-03-20,16:50,E6,F3,3.0
7,AMS,BCN,Boeing 737 MAX,2024-03-21,07:40,B5,A11,2.25
8,SYD,MEL,Airbus A320neo,2024-03-22,09:10,C7,D8,1.5
9,ORD,MIA,Boeing 787,2024-03-23,11:30,A3,B6,3.25
10,MAD,FCO,Airbus A321,2024-03-24,13:55,D2,C4,2.5
11,YYZ,YVR,Boeing 737,2024-03-25,06:20,B8,A2,5.0
12,DOH,LHR,Airbus A350,2024-03-26,22:40,F1,E7,6.75
13,PEK,HKG,Boeing 777,2024-03-27,15:15,C6,D1,3.5
14,MUC,ATH,Airbus A320,2024-03-28,17:30,A9,B4,2.75
15,DUB,EDI,Boeing 737,2024-03-29,08:50,E2,F5,1.0
16,CPH,OSL,Airbus A319,2024-03-30,10:40,D7,C2,1.25
17,ZRH,VIE,Embraer E175,2024-03-31,12:25,B10,A5,1.5
18,BKK,SGN,Airbus A330,2024-04-01,19:05,F4,E9,1.75
19,GRU,EZE,Boeing 787,2024-04-02,23:50,C8,D3,3.25
20,AKL,BNE,Airbus A321neo,2024-04-03,07:15,A6,B9,3.5
21,ARN,HEL,Embraer E190,2024-04-04,11:20,E5,F2,1.0
22,PMI,TXL,Airbus A320,2024-04-05,14:00,D9,C1,2.75
23,LIS,OPO,ATR 72,2024-04-06,16:35,B7,A4,1.0
24,MXP,FCO,Airbus A319,2024-04-07,09:45,F7,E1,1.25
25,DPS,CGK,Boeing 737 MAX,2024-04-08,13:10,C5,D6,1.75
26,KUL,PEN,Airbus A320,2024-04-09,18:25,A8,B1,1.0
27,WAW,KRK,Embraer E175,2024-04-10,20:50,E3,F6,1.0
28,HAM,STR,Airbus A319,2024-04-11,06:40,D10,C7,1.25
29,PRG,BUD,ATR 72,2024-04-12,08:55,B3,A10,1.5
30,KEF,BGO,Boeing 737,2024-04-13,11:05,F9,E8,2.25